Folder Path,Title,Version Name,Version Date,External Key,Folder ID,Doc ID,Doc Code,Web Viewer URL,Processing Status,Processing Message
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","G-2-10_Final","Version: 1",06/29/2026 19:06:23,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,24cfca88-0fc8-4237-9dd8-9b77ac28369f,0000-2E4F-3A93A5-0065668E,"https://view.protectedpdf.com/aa4k3R",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LEM-3-13 final","Version: 1",06/29/2026 19:06:24,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,5ad98559-81e9-4714-88fb-b1c729dbbf91,0000-2E4F-3A93A6-0065668F,"https://view.protectedpdf.com/RBDPQg",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LEM-7-13","Version: 1",06/29/2026 19:06:28,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,8ceb639b-8cb8-4b90-820c-a3140290ce5a,0000-2E4F-3A93AB-00656694,"https://view.protectedpdf.com/ueVeXv",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-10-20","Version: 1",06/29/2026 19:06:30,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,f50370dc-8f8a-47e8-b340-c0972ad804a5,0000-2E4F-3A93AE-00656697,"https://view.protectedpdf.com/jvwFNa",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-11-20","Version: 1",06/29/2026 19:06:30,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,14ed144d-ccd2-484a-af8b-3b451903faeb,0000-2E4F-3A93AD-00656696,"https://view.protectedpdf.com/M2jtJ2",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-20-13_FINAL","Version: 1",06/29/2026 19:06:30,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,f063bce0-bda3-40fc-b490-c3152f17a0ee,0000-2E4F-3A93AC-00656695,"https://view.protectedpdf.com/NgDknJ",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-28-12_final","Version: 1",06/29/2026 19:06:30,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,8c90eb2e-45c3-40ba-aa49-5bb23a7c980b,0000-2E4F-3A93AF-00656698,"https://view.protectedpdf.com/eutUA2",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-31-20","Version: 1",06/29/2026 19:06:33,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,ac513b3a-4865-4e0f-ad33-3a5514babc78,0000-2E4F-3A93B4-0065669D,"https://view.protectedpdf.com/aF7cc3",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-35-20","Version: 1",06/29/2026 19:06:31,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,6f5c7197-0e25-40bd-92eb-86b4d1da7e3c,0000-2E4F-3A93B0-00656699,"https://view.protectedpdf.com/edTAJQ",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-37-16","Version: 1",06/29/2026 19:06:32,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,e6227ae8-2380-4d5d-86b9-d2e40d2b5273,0000-2E4F-3A93B1-0065669A,"https://view.protectedpdf.com/vRctFf",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-40-10.FINAL","Version: 1",06/29/2026 19:06:32,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,2a8aaf90-51d7-436b-bc84-776e3208da14,0000-2E4F-3A93B2-0065669B,"https://view.protectedpdf.com/8ZxUUj",Completed,Processing completed successfully
